capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
,86.212,Borussia Dortmund,0,43,13,6,4,9,8,12,1,Real Madrid CF,2,57,13,5,3,8,12,8,0,2024,final
49.691,46.435,FC Paris Saint-Germain,0,69,30,15,2,12,6,8,0,Borussia Dortmund,1,31,7,2,5,4,8,6,2,2024,semifinais - Jogos de volta
81.044,76.579,Real Madrid CF,2,57,19,6,4,8,9,12,0,FC Bayern Munique,1,43,8,2,5,4,12,10,2,2024,semifinais - Jogos de volta
,75.000 esgotado,FC Bayern Munique,2,52,14,6,2,6,10,11,0,Real Madrid CF,2,48,10,1,3,5,11,10,2,2024,Semifinais - Jogos de ida
,81.365 esgotado,Borussia Dortmund,1,43,13,4,3,4,6,11,1,FC Paris Saint-Germain,0,57,14,9,3,3,11,6,2,2024,Semifinais - Jogos de ida
,81.365 esgotado,Borussia Dortmund,4,52,19,4,2,6,10,9,1,Atlético de Madrid,2,48,10,4,5,2,7,11,2,2024,quartas de final - Jogos de volta
,50.311,FC Barcelona,1,33,7,3,5,3,11,10,1,FC Paris Saint-Germain,4,67,21,6,2,9,10,12,2,2024,quartas de final - Jogos de volta
75.024,75.000,FC Bayern Munique,1,51,15,7,3,8,13,10,1,FC Arsenal,0,49,8,4,3,3,10,13,3,2024,quartas de final - Jogos de volta
55.017,52.306,Manchester City FC,4,67,33,12,2,18,10,15,1,Real Madrid CF,5pen.,33,8,4,8,1,15,11,1,2024,quartas de final - Jogos de volta
60.704,60.221,FC Arsenal,2,59,13,4,0,2,12,13,3,FC Bayern Munique,2,41,8,5,2,1,13,12,2,2024,Quartas de final - Jogos de ida
81.044,76.680,Real Madrid CF,3,38,14,7,3,4,9,11,0,Manchester City FC,3,62,12,2,3,2,11,9,0,2024,Quartas de final - Jogos de ida
70.460,68.641,Atlético de Madrid,2,34,14,1,3,8,7,10,0,Borussia Dortmund,1,66,12,4,7,8,10,7,0,2024,Quartas de final - Jogos de ida
49.691,47.470,FC Paris Saint-Germain,2,59,18,4,3,7,8,14,4,FC Barcelona,3,41,15,5,4,5,14,8,3,2024,Quartas de final - Jogos de ida
,39.336 esgotado,Real Sociedad,1,44,14,6,5,6,13,19,5,FC Paris Saint-Germain,2,56,10,2,6,4,19,13,7,2024,Oitavas de final - Jogos de volta
,75.000 esgotado,FC Bayern Munique,3,60,24,8,0,6,9,14,0,SS Lazio,0,40,5,2,4,3,13,9,0,2024,Oitavas de final - Jogos de volta
81.044,76.126,Real Madrid CF,1,53,11,3,3,3,14,12,1,RB Leipzig,1,47,20,10,3,8,12,15,1,2024,Oitavas de final - Jogos de volta
55.017,51.531,Manchester City FC,3,69,12,1,1,4,9,5,1,FC Copenhagen,1,31,11,5,0,4,5,9,4,2024,Oitavas de final - Jogos de volta
,50.301,FC Barcelona,3,49,24,10,3,7,16,7,1,SSC Napoli,1,51,14,7,7,2,7,16,4,2024,Oitavas de final - Jogos de volta
60.704,60.257,FC Arsenal,4,58,13,7,3,9,20,18,3,FC Porto,2pen.,42,10,5,3,1,17,20,3,2024,Oitavas de final - Jogos de volta
70.460,69.196,Atlético de Madrid,5,47,23,8,4,5,13,21,0,Inter de Milão,3pen.,53,15,6,7,1,20,14,0,2024,Oitavas de final - Jogos de volta
,81.365 esgotado,Borussia Dortmund,2,49,15,4,7,5,8,7,2,PSV Eindhoven,0,51,17,9,5,4,6,8,2,2024,Oitavas de final - Jogos de volta
47.069,45.028,RB Leipzig,0,50,14,3,2,7,12,10,2,Real Madrid CF,1,50,15,6,9,3,10,12,0,2024,Oitavas de final - Jogos de ida
38.065,35.853,FC Copenhagen,1,21,4,2,9,2,2,13,0,Manchester City FC,3,79,27,7,0,6,12,3,1,2024,Oitavas de final - Jogos de ida
49.691,46.435,FC Paris Saint-Germain,2,62,14,5,0,9,13,6,3,Real Sociedad,0,38,9,6,4,7,5,15,2,2024,Oitavas de final - Jogos de ida
73.261,57.470,SS Lazio,1,39,11,2,0,3,8,7,0,FC Bayern Munique,0,61,17,10,3,5,7,8,2,2024,Oitavas de final - Jogos de ida
75.923,73.709,Inter de Milão,1,56,19,7,0,3,15,10,0,Atlético de Madrid,0,44,7,6,4,2,9,16,0,2024,Oitavas de final - Jogos de ida
,34.950 esgotado,PSV Eindhoven,1,55,14,8,4,4,15,8,2,Borussia Dortmund,1,45,8,3,4,4,7,15,1,2024,Oitavas de final - Jogos de ida
54.726,49.529,SSC Napoli,1,49,6,3,5,7,14,11,4,FC Barcelona,1,51,12,5,0,4,11,14,1,2024,Oitavas de final - Jogos de ida
50.033,49.111,FC Porto,1,35,8,4,0,1,22,14,0,FC Arsenal,0,65,7,5,1,10,14,22,0,2024,Oitavas de final - Jogos de ida
