capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
,72.000,Manchester City FC,1,56,7,3,5,2,17,11,1,Inter de Milão,0,44,14,7,3,4,11,17,1,2023,final
,75.567 esgotado,Inter de Milão,1,44,15,6,1,5,21,15,1,AC Milan,0,56,5,3,3,3,15,22,0,2023,semifinais - Jogos de volta
55.017,53.000,Manchester City FC,4,59,16,6,3,7,13,16,0,Real Madrid CF,0,41,7,2,4,3,16,14,0,2023,semifinais - Jogos de volta
81.044,63.485,Real Madrid CF,1,44,13,2,5,8,11,11,0,Manchester City FC,1,56,10,1,3,7,10,11,2,2023,Semifinais - Jogos de ida
,75.532 esgotado,AC Milan,0,57,13,9,3,2,15,14,2,Inter de Milão,2,43,16,6,2,3,13,16,2,2023,Semifinais - Jogos de ida
40.853,39.453,Chelsea FC,0,54,19,7,4,8,8,16,2,Real Madrid CF,2,46,9,3,6,2,14,8,2,2023,quartas de final - Jogos de volta
,52.728 esgotado,SSC Napoli,1,73,23,10,3,16,10,14,0,AC Milan,1,27,6,1,3,1,13,12,1,2023,quartas de final - Jogos de volta
,75.024 esgotado,FC Bayern Munique,1,58,19,9,1,5,9,12,2,Manchester City FC,1,42,7,2,5,2,11,11,2,2023,quartas de final - Jogos de volta
,75.380 esgotado,Inter de Milão,3,40,11,4,2,4,7,13,1,SL Benfica,3,60,12,4,0,6,13,10,2,2023,quartas de final - Jogos de volta
55.017,52.257,Manchester City FC,3,44,17,5,4,8,8,11,0,FC Bayern Munique,0,56,12,3,6,5,10,8,1,2023,Quartas de final - Jogos de ida
65.000,62.594,SL Benfica,0,58,12,6,2,4,8,11,1,Inter de Milão,2,42,9,3,2,6,10,9,1,2023,Quartas de final - Jogos de ida
,74.742 esgotado,AC Milan,1,47,12,7,5,3,13,16,1,SSC Napoli,0,53,16,6,1,10,16,13,0,2023,Quartas de final - Jogos de ida
81.044,63.142,Real Madrid CF,2,57,18,5,3,3,9,10,1,Chelsea FC,0,43,7,2,8,3,10,10,0,2023,Quartas de final - Jogos de ida
40.853,39.392,Chelsea FC,2,39,13,7,4,5,7,17,6,Borussia Dortmund,0,61,13,5,2,3,16,9,0,2023,Oitavas de final - Jogos de volta
65.000,61.018,SL Benfica,5,60,20,9,1,2,7,3,4,Club Brugge,1,40,13,6,2,5,2,7,1,2023,Oitavas de final - Jogos de volta
,75.000 esgotado,FC Bayern Munique,2,45,12,3,2,4,6,9,3,FC Paris Saint-Germain,0,55,10,2,3,6,7,6,0,2023,Oitavas de final - Jogos de volta
62.062,61.602,Tottenham Hotspur,0,54,9,3,3,6,12,18,0,AC Milan,0,46,14,5,3,0,18,12,1,2023,Oitavas de final - Jogos de volta
50.399,48.015,FC Porto,0,68,21,6,5,6,16,11,2,Inter de Milão,0,32,11,4,6,3,11,18,2,2023,Oitavas de final - Jogos de volta
55.017,52.038,Manchester City FC,7,67,23,3,1,10,5,10,1,RB Leipzig,0,33,4,3,8,0,9,7,2,2023,Oitavas de final - Jogos de volta
,49.082 esgotado,SSC Napoli,3,60,12,2,1,4,15,13,2,SG Eintracht Frankfurt,0,40,8,2,5,3,12,15,0,2023,Oitavas de final - Jogos de volta
81.044,63.127,Real Madrid CF,1,53,17,5,5,5,17,7,5,FC Liverpool,0,47,9,3,6,9,6,17,2,2023,Oitavas de final - Jogos de volta
49.691,46.435,FC Paris Saint-Germain,0,46,9,1,6,4,18,8,5,FC Bayern Munique,1,54,18,7,4,5,8,18,3,2023,Oitavas de final - Jogos de ida
75.923,74.320,AC Milan,1,47,9,4,3,3,13,17,1,Tottenham Hotspur,0,53,12,5,3,8,16,13,4,2023,Oitavas de final - Jogos de ida
,81.365 esgotado,Borussia Dortmund,1,47,14,5,7,5,9,13,0,Chelsea FC,0,53,21,7,1,10,13,12,3,2023,Oitavas de final - Jogos de ida
29.062,25.643,Club Brugge,0,45,4,1,2,3,7,10,4,SL Benfica,2,55,14,7,1,7,10,8,4,2023,Oitavas de final - Jogos de ida
,47.500 esgotado,SG Eintracht Frankfurt,0,30,5,2,9,4,13,12,1,SSC Napoli,2,70,18,4,1,9,12,13,2,2023,Oitavas de final - Jogos de ida
54.074,52.337,FC Liverpool,2,52,9,2,1,4,7,9,0,Real Madrid CF,5,48,9,2,2,3,9,9,0,2023,Oitavas de final - Jogos de ida
,75.374 esgotado,Inter de Milão,1,60,18,9,4,6,12,15,0,FC Porto,0,40,10,4,3,0,15,14,1,2023,Oitavas de final - Jogos de ida
47.069,45.228,RB Leipzig,1,38,7,2,2,2,5,12,3,Manchester City FC,1,62,12,6,3,4,11,6,1,2023,Oitavas de final - Jogos de ida
