capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
65.000,0,FC Paris Saint-Germain,0,38,10,4,1,4,22,16,2,FC Bayern Munique,1,62,12,5,3,4,15,22,1,2020,final
65.000,0,RB Leipzig,0,43,14,5,6,5,12,24,0,FC Paris Saint-Germain,3,57,14,4,3,4,23,13,3,2020,semifinais
59.186,0,Olympique Lyon,0,34,9,6,5,4,6,12,1,FC Bayern Munique,3,66,19,4,3,6,12,8,3,2020,semifinais
65.000,0,Atalanta BC,1,37,9,3,4,4,13,29,2,FC Paris Saint-Germain,2,63,17,8,3,3,29,13,0,2020,quartas de final
42.146,0,RB Leipzig,2,57,10,5,2,3,11,21,1,Atlético de Madrid,1,43,9,2,2,7,20,12,2,2020,quartas de final
65.000,0,FC Barcelona,2,51,7,0,5,6,20,13,4,FC Bayern Munique,8,49,26,9,4,9,13,22,2,2020,quartas de final
50.080,0,Manchester City FC,1,72,18,6,4,11,15,13,0,Olympique Lyon,3,28,7,0,6,3,12,15,0,2020,quartas de final
,42.146 esgotado,RB Leipzig,3,54,13,4,3,6,12,21,3,Tottenham Hotspur,0,46,6,2,2,3,21,12,1,2020,Oitavas de final - Jogos de volta
48.600,0,Valência CF,3,59,16,6,1,9,12,13,3,Atalanta BC,4,41,11,4,4,2,11,12,1,2020,Oitavas de final - Jogos de volta
54.074,52.267,FC Liverpool,2,71,34,16,3,16,15,17,2,Atlético de Madrid,3prorr.,29,10,4,9,3,16,17,4,2020,Oitavas de final - Jogos de volta
49.691,0,FC Paris Saint-Germain,2,47,8,2,2,5,16,13,2,Borussia Dortmund,0,53,11,6,2,4,12,17,0,2020,Oitavas de final - Jogos de volta
55.017,0,Manchester City FC,2,55,20,6,3,7,3,8,1,Real Madrid CF,1,45,9,2,5,3,8,3,4,2020,Oitavas de final - Jogos de volta
41.507,0,Juventus FC,2,62,16,4,1,6,17,12,7,Olympique Lyon,1,38,6,2,3,3,12,18,2,2020,Oitavas de final - Jogos de volta
75.024,0,FC Bayern Munique,4,63,18,8,3,4,6,8,1,Chelsea FC,1,37,10,3,3,3,8,6,5,2020,Oitavas de final - Jogos de volta
99.354,0,FC Barcelona,3,51,7,2,2,2,17,8,0,SSC Napoli,1,49,18,5,1,6,7,17,4,2020,Oitavas de final - Jogos de volta
81.365,66.099,Borussia Dortmund,2,47,12,7,2,3,10,13,2,FC Paris Saint-Germain,1,53,10,5,1,3,12,12,2,2020,Oitavas de final - Jogos de ida
68.456,67.443,Atlético de Madrid,1,27,7,5,0,2,12,11,5,FC Liverpool,0,73,8,6,1,7,10,13,1,2020,Oitavas de final - Jogos de ida
62.062,60.095,Tottenham Hotspur,0,44,12,5,4,6,16,11,2,RB Leipzig,1,56,16,4,5,7,10,17,5,2020,Oitavas de final - Jogos de ida
,44.236,Atalanta BC,4,51,11,5,3,6,8,19,1,Valência CF,1,49,18,10,1,4,18,9,2,2020,Oitavas de final - Jogos de ida
54.726,44.388,SSC Napoli,1,33,7,2,1,2,11,7,1,FC Barcelona,1,67,8,4,3,1,7,11,2,2020,Oitavas de final - Jogos de ida
40.853,36.761,Chelsea FC,0,37,9,6,3,3,9,7,2,FC Bayern Munique,3,63,16,8,3,5,6,10,0,2020,Oitavas de final - Jogos de ida
59.186,57.335,Olympique Lyon,1,36,12,6,0,5,8,17,1,Juventus FC,0,64,14,9,1,3,17,8,3,2020,Oitavas de final - Jogos de ida
81.044,75.615,Real Madrid CF,1,49,9,4,6,1,10,13,0,Manchester City FC,2,51,16,5,2,4,13,10,0,2020,Oitavas de final - Jogos de ida
