capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
,14.110 esgotado,Manchester City FC,0,60,7,2,1,3,13,14,1,Chelsea FC,1,40,8,5,1,1,13,13,3,2021,final
55.017,0,Manchester City FC,2,44,12,3,0,6,11,15,1,FC Paris Saint-Germain,0,56,14,5,3,6,12,12,1,2021,semifinais - Jogos de volta
40.853,0,Chelsea FC,2,32,15,8,5,1,12,18,2,Real Madrid CF,0,68,7,0,3,3,17,12,2,2021,semifinais - Jogos de volta
9.000,0,Real Madrid CF,1,51,9,6,4,4,8,11,2,Chelsea FC,1,49,11,2,0,6,11,9,2,2021,Semifinais - Jogos de ida
49.691,0,FC Paris Saint-Germain,1,41,10,2,4,6,15,9,1,Manchester City FC,2,59,11,3,3,4,9,15,1,2021,Semifinais - Jogos de ida
49.691,0,FC Paris Saint-Germain,0,45,10,6,4,6,18,10,7,FC Bayern Munique,1,55,14,7,3,7,10,21,3,2021,quartas de final - Jogos de volta
43.883,0,Chelsea FC,0,46,8,2,1,6,19,14,5,FC Porto,1,54,8,3,1,9,13,20,0,2021,quartas de final - Jogos de volta
54.074,0,FC Liverpool,0,56,15,8,2,11,5,10,1,Real Madrid CF,0,44,6,1,4,3,10,5,1,2021,quartas de final - Jogos de volta
81.365,0,Borussia Dortmund,1,38,10,3,3,2,8,7,3,Manchester City FC,2,62,17,7,2,11,6,8,1,2021,quartas de final - Jogos de volta
9.000,0,Real Madrid CF,3,46,15,3,0,5,11,6,3,FC Liverpool,1,54,7,3,4,3,6,11,0,2021,Quartas de final - Jogos de ida
55.017,0,Manchester City FC,2,62,11,4,2,4,8,9,1,Borussia Dortmund,1,38,7,1,4,2,9,8,0,2021,Quartas de final - Jogos de ida
75.024,0,FC Bayern Munique,2,64,31,9,1,15,6,16,1,FC Paris Saint-Germain,3,36,6,1,10,1,14,7,3,2021,Quartas de final - Jogos de ida
43.883,0,FC Porto,0,40,12,3,1,9,17,12,4,Chelsea FC,2,60,6,3,5,4,12,17,2,2021,Quartas de final - Jogos de ida
41.507,0,Juventus FC,3,69,31,7,5,19,13,21,7,FC Porto,2prorr.,31,14,5,10,2,20,13,1,2021,Oitavas de final - Jogos de volta
66.099,0,Borussia Dortmund,2,31,9,4,6,1,15,17,1,Sevilla FC,2,69,19,6,3,8,17,15,0,2021,Oitavas de final - Jogos de volta
49.691,0,FC Paris Saint-Germain,1,28,7,4,9,2,9,11,0,FC Barcelona,1,72,21,6,2,9,10,9,1,2021,Oitavas de final - Jogos de volta
54.074,0,FC Liverpool,2,41,12,4,2,5,4,18,4,RB Leipzig,0,59,11,8,5,1,16,7,3,2021,Oitavas de final - Jogos de volta
9.000,0,Real Madrid CF,3,53,12,3,4,0,12,14,0,Atalanta BC,1,47,13,5,3,5,14,13,0,2021,Oitavas de final - Jogos de volta
55.017,0,Manchester City FC,2,67,10,3,3,7,8,4,2,Borussia Mönchengladbach,0,33,6,3,4,2,4,8,2,2021,Oitavas de final - Jogos de volta
40.853,0,Chelsea FC,2,56,16,7,4,6,11,11,1,Atlético de Madrid,0,44,10,3,3,5,10,11,2,2021,Oitavas de final - Jogos de volta
75.024,0,FC Bayern Munique,2,59,12,4,1,4,8,12,1,SS Lazio,1,41,5,3,2,1,12,9,3,2021,Oitavas de final - Jogos de volta
99.354,0,FC Barcelona,1,53,12,4,4,4,16,11,1,FC Paris Saint-Germain,4,47,16,4,3,7,11,16,0,2021,Oitavas de final - Jogos de ida
67.155,0,RB Leipzig,0,47,12,8,1,4,11,11,7,FC Liverpool,2,53,10,6,2,2,11,11,1,2021,Oitavas de final - Jogos de ida
43.883,0,Sevilla FC,2,66,12,4,2,6,12,9,1,Borussia Dortmund,3,34,10,3,2,3,8,12,2,2021,Oitavas de final - Jogos de ida
50.399,0,FC Porto,2,35,8,1,4,6,13,14,1,Juventus FC,1,65,12,4,3,6,13,14,5,2021,Oitavas de final - Jogos de ida
68.456,0,Atlético de Madrid,0,37,6,3,4,5,20,9,0,Chelsea FC,1,63,11,2,0,6,8,21,0,2021,Oitavas de final - Jogos de ida
73.261,0,SS Lazio,1,44,14,6,4,7,11,13,4,FC Bayern Munique,4,56,13,3,4,4,11,11,1,2021,Oitavas de final - Jogos de ida
67.155,0,Borussia Mönchengladbach,0,39,3,1,2,0,4,7,2,Manchester City FC,2,61,9,3,1,1,7,4,1,2021,Oitavas de final - Jogos de ida
22.512,0,Atalanta BC,0,31,2,2,3,1,11,8,2,Real Madrid CF,1,69,19,6,0,7,8,12,2,2021,Oitavas de final - Jogos de ida
