capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
,49.000 esgotado,CA Boca Juniors,1,54,21,12,1,4,27,21,2,CA River Plate,0,46,7,5,5,3,19,27,3,2019,semifinais - Jogos de volta
65.645,0,CA River Plate,0,10,4,6,0,9,20,23,1,Cruzeiro EC,0,10,0,2,4,0,24,19,1,2019,Oitavas de final - Jogos de ida
55.400,30.449,LDU Quito,3,10,6,10,3,4,10,13,3,Olimpia Asunción,1,10,3,4,4,4,16,10,0,2019,Oitavas de final - Jogos de ida
40.628,0,CD Godoy Cruz Antonio Tomba,2,10,4,3,3,3,11,14,0,SE Palmeiras,2,10,5,5,2,4,14,11,0,2019,Oitavas de final - Jogos de ida
47.964,0,CA San Lorenzo de Almagro,0,10,8,6,2,5,19,13,0,Club Cerro Porteño,0,10,2,0,8,2,13,19,0,2019,Oitavas de final - Jogos de ida
26.500,0,Club Nacional,0,10,2,6,1,4,16,16,1,SC Internacional,1,10,2,3,2,2,17,15,1,2019,Oitavas de final - Jogos de ida
42.372,34.456,Athletico Paranaense,0,10,3,8,3,4,23,11,0,CA Boca Juniors,1,10,4,0,3,6,11,21,2,2019,Oitavas de final - Jogos de ida
40.000,0,CS Emelec,2,10,2,2,1,4,18,16,1,CR Flamengo,0,10,1,5,0,7,17,16,2,2019,Oitavas de final - Jogos de ida
23.940,0,Caracas FC,2,10,4,9,3,7,12,21,2,FBC Melgar,1,10,4,4,2,1,23,10,2,2019,3ª eliminatória - jogos de volta
12.000,0,CD Palestino,2,10,4,2,3,2,20,24,0,CA Talleres,1,10,4,1,2,5,24,20,0,2019,3ª eliminatória - jogos de volta
23.018,22.210,Atlético Mineiro,0,10,5,6,4,8,11,8,1,Defensor Sporting Club,0,10,4,3,5,3,9,11,0,2019,3ª eliminatória - jogos de volta
45.943,0,Atlético Nacional,5,10,7,6,1,12,18,15,1,Club Libertad Asuncion,5pen.,10,1,4,6,2,16,18,0,2019,3ª eliminatória - jogos de volta
40.217,0,FBC Melgar,2,10,3,2,1,3,5,5,1,Caracas FC,0,10,1,4,1,6,6,5,0,2019,3ª eliminatória - jogos de ida
55.144,0,CA Talleres,2,10,5,6,1,8,20,8,1,CD Palestino,2,10,5,3,2,3,9,19,1,2019,3ª eliminatória - jogos de ida
18.000,0,Defensor Sporting Club,0,10,3,6,5,7,17,7,2,Atlético Mineiro,2,10,7,8,3,6,9,14,3,2019,3ª eliminatória - jogos de ida
10.000,0,Club Libertad Asuncion,1,10,7,3,2,4,18,15,2,Atlético Nacional,0,10,2,6,6,7,17,18,0,2019,3ª eliminatória - jogos de ida
23.018,22.205,Atlético Mineiro,3,0,6,8,1,2,16,11,4,FC Danubio Montevideo,2,0,3,2,3,5,15,16,1,2019,2ª eliminatória - jogos de volta
45.943,0,Independiente Medellín,2,10,5,8,0,2,19,11,0,CD Palestino,5pen.,10,1,6,4,3,11,16,3,2019,2ª eliminatória - jogos de volta
57.267,20.000,Barcelona SC Guayaquil,1,10,5,6,1,11,18,18,0,Defensor Sporting Club,0,10,1,3,4,1,18,17,1,2019,2ª eliminatória - jogos de volta
10.000,0,Club Libertad Asuncion,5,10,9,10,1,5,12,14,0,The Strongest La Paz,1,10,2,1,2,0,14,12,0,2019,2ª eliminatória - jogos de volta
48.665,39.316,CF Universidad de Chile,0,0,6,7,2,9,16,14,1,FBC Melgar,0,0,2,3,6,3,15,15,1,2019,2ª eliminatória - jogos de volta
23.940,4.788,Caracas FC,0,10,1,4,7,1,18,14,0,Delfín SC,0,10,7,4,1,8,14,18,1,2019,2ª eliminatória - jogos de volta
67.428,44.737,São Paulo FC,0,10,1,6,1,1,12,15,4,CA Talleres,0,10,1,4,1,5,19,12,0,2019,2ª eliminatória - jogos de volta
45.943,0,Atlético Nacional,0,10,6,7,0,3,15,13,1,Real Esppor Club,0,10,0,1,5,2,14,14,1,2019,2ª eliminatória - jogos de volta
16.000,0,FC Danubio Montevideo,2,10,2,1,1,7,6,3,0,Atlético Mineiro,2,10,4,2,1,12,3,6,0,2019,2ª eliminatória - jogos de ida
42.000,0,The Strongest La Paz,1,10,9,8,1,11,15,9,1,Club Libertad Asuncion,1,10,2,4,8,3,10,14,1,2019,2ª eliminatória - jogos de ida
40.217,15.000,FBC Melgar,1,10,6,4,1,6,15,4,0,CF Universidad de Chile,0,10,1,6,5,2,4,15,0,2019,2ª eliminatória - jogos de ida
18.000,6.000,Defensor Sporting Club,3,10,2,4,5,6,21,15,3,Barcelona SC Guayaquil,0,10,7,6,1,2,18,21,0,2019,2ª eliminatória - jogos de ida
17.834,8.000,Delfín SC,1,10,4,6,0,4,22,12,2,Caracas FC,1,10,1,6,3,2,14,21,1,2019,2ª eliminatória - jogos de ida
16.500,0,CA Talleres,2,10,4,5,3,3,14,15,3,São Paulo FC,0,10,3,1,2,5,18,12,2,2019,2ª eliminatória - jogos de ida
12.000,0,CD Palestino,1,10,6,6,4,5,13,23,0,Independiente Medellín,1,10,5,5,5,2,23,13,0,2019,2ª eliminatória - jogos de ida
24.900,0,Real Esppor Club,0,10,1,7,1,4,11,15,2,Atlético Nacional,1,10,2,6,1,7,17,9,2,2019,2ª eliminatória - jogos de ida
45.000,0,Real Garcilaso,2,10,5,10,2,4,13,15,1,Real Esppor Club,1,10,3,5,3,6,16,12,1,2019,1ª eliminatória - jogos de volta
40.759,1.500,Club Nacional Asunción,1,10,2,4,4,4,23,25,0,Delfín SC,2,10,6,5,1,2,25,20,3,2019,1ª eliminatória - jogos de volta
