capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
76.609,55.023,SE Palmeiras,2,36,10,3,1,4,15,18,0,CR Flamengo,1prorr.,64,19,11,4,9,17,16,2,2021,final
57.018,18.350,Atlético Mineiro,1,63,17,4,2,8,7,14,4,SE Palmeiras,1,37,9,3,5,5,13,8,4,2021,semifinais - Jogos de volta
57.267,0,Barcelona SC Guayaquil,0,52,17,7,2,4,8,9,0,CR Flamengo,2,48,11,6,6,3,7,8,1,2021,semifinais - Jogos de volta
43.600,0,SE Palmeiras,0,41,4,2,0,1,20,9,3,Atlético Mineiro,0,59,11,9,1,4,9,22,0,2021,Semifinais - Jogos de ida
78.838,0,CR Flamengo,2,65,17,6,5,7,8,13,0,Barcelona SC Guayaquil,0,35,13,6,4,6,13,10,1,2021,Semifinais - Jogos de ida
43.600,0,SE Palmeiras,3,42,13,2,0,4,18,9,1,São Paulo FC,0,58,6,6,5,3,9,18,2,2021,quartas de final - Jogos de volta
71.838,0,CR Flamengo,5,58,10,1,1,4,19,8,2,Olimpia Asunción,1,42,8,6,4,3,7,19,3,2021,quartas de final - Jogos de volta
57.483,16.000,Atlético Mineiro,3,48,11,3,9,3,11,4,3,CA River Plate,0,52,19,6,4,9,4,11,0,2021,quartas de final - Jogos de volta
57.267,0,Barcelona SC Guayaquil,1,32,16,9,3,5,17,8,3,Fluminense FC,1,68,11,5,2,11,7,18,1,2021,quartas de final - Jogos de volta
72.039,0,São Paulo FC,1,60,16,5,1,3,9,20,2,SE Palmeiras,1,40,14,9,6,9,20,10,2,2021,Quartas de final - Jogos de ida
20.000,0,Olimpia Asunción,1,49,13,5,5,6,12,18,5,CR Flamengo,4,51,22,12,2,0,18,14,2,2021,Quartas de final - Jogos de ida
70.074,0,CA River Plate,0,57,16,8,4,10,9,15,0,Atlético Mineiro,1,43,18,9,4,7,15,9,1,2021,Quartas de final - Jogos de ida
82.238,0,Fluminense FC,2,57,14,5,0,3,12,14,0,Barcelona SC Guayaquil,2,43,5,2,0,4,14,13,4,2021,Quartas de final - Jogos de ida
57.018,0,Atlético Mineiro,3,63,8,1,2,3,17,15,2,CA Boca Juniors,1pen.,37,10,5,2,5,15,22,7,2021,Oitavas de final - Jogos de volta
51.389,0,Racing Club,1,61,14,9,2,4,15,10,1,São Paulo FC,3,39,11,4,3,3,10,18,1,2021,Oitavas de final - Jogos de volta
57.267,0,Barcelona SC Guayaquil,3,53,12,5,0,2,18,13,1,CA Vélez Sarsfield,1,47,6,1,2,4,13,19,0,2021,Oitavas de final - Jogos de volta
43.600,0,SE Palmeiras,1,50,20,8,3,7,11,19,2,CD Universidad Católica,0,50,9,6,9,1,18,12,3,2021,Oitavas de final - Jogos de volta
72.788,18.000,CR Flamengo,4,65,19,7,1,8,12,6,2,Defensa y Justicia,1,35,12,7,5,2,6,14,2,2021,Oitavas de final - Jogos de volta
26.000,0,AA Argentinos Juniors,0,51,3,2,0,3,16,20,0,CA River Plate,2,49,14,9,1,4,18,17,0,2021,Oitavas de final - Jogos de volta
56.000,0,SC Internacional,4,68,17,7,1,8,15,9,1,Olimpia Asunción,5pen.,32,11,7,5,1,9,16,2,2021,Oitavas de final - Jogos de volta
82.238,0,Fluminense FC,1,38,8,1,3,6,7,11,0,Club Cerro Porteño,0,62,13,5,4,9,11,9,1,2021,Oitavas de final - Jogos de volta
45.000,0,Club Cerro Porteño,0,62,12,6,5,4,14,16,1,Fluminense FC,2,38,15,8,5,3,16,14,1,2021,Oitavas de final - Jogos de ida
49.000,0,CA Boca Juniors,0,44,11,4,2,6,16,23,0,Atlético Mineiro,0,56,6,4,4,1,20,17,0,2021,Oitavas de final - Jogos de ida
72.039,0,São Paulo FC,1,41,11,6,2,4,13,12,2,Racing Club,1,59,9,3,3,5,9,13,0,2021,Oitavas de final - Jogos de ida
49.747,0,CA Vélez Sarsfield,1,48,8,5,2,2,15,20,3,Barcelona SC Guayaquil,0,52,8,4,1,4,18,15,0,2021,Oitavas de final - Jogos de ida
14.768,0,CD Universidad Católica,0,59,14,4,1,9,12,17,1,SE Palmeiras,1,41,5,1,6,1,15,12,0,2021,Oitavas de final - Jogos de ida
70.074,0,CA River Plate,1,57,10,3,0,7,18,19,3,AA Argentinos Juniors,1,43,3,2,3,2,18,19,3,2021,Oitavas de final - Jogos de ida
20.000,0,Defensa y Justicia,0,56,14,3,3,6,10,11,4,CR Flamengo,1,44,5,0,7,1,10,10,1,2021,Oitavas de final - Jogos de ida
20.000,0,Olimpia Asunción,0,46,18,7,3,7,10,13,1,SC Internacional,0,54,11,6,5,3,10,10,0,2021,Oitavas de final - Jogos de ida
20.120,0,Santos FC,2,57,11,4,9,11,21,11,0,CA San Lorenzo de Almagro,2,43,24,7,2,13,11,22,6,2021,3ª eliminatória - jogos de volta
60.540,0,Grêmio FBPA,1,42,10,4,3,1,9,16,5,Independiente del Valle,2,58,18,7,4,2,15,10,1,2021,3ª eliminatória - jogos de volta
45.943,0,Atlético Nacional,4,57,11,4,2,5,7,12,6,Club Libertad Asuncion,1,43,17,8,1,0,11,7,3,2021,3ª eliminatória - jogos de volta
49.612,0,Junior FC,3,50,13,7,2,1,8,23,2,Bolívar La Paz,0,50,13,8,3,5,23,8,1,2021,3ª eliminatória - jogos de volta
47.964,0,CA San Lorenzo de Almagro,1,41,17,9,5,4,8,9,6,Santos FC,3,59,14,1,4,9,9,8,0,2021,3ª eliminatória - jogos de ida
10.000,0,Club Libertad Asuncion,1,48,12,3,4,4,11,19,2,Atlético Nacional,0,52,10,6,3,2,18,11,2,2021,3ª eliminatória - jogos de ida
42.000,0,Bolívar La Paz,2,60,31,14,1,7,7,18,1,Junior FC,1,40,3,1,5,1,17,9,3,2021,3ª eliminatória - jogos de ida
40.799,0,Independiente del Valle,2,70,16,10,0,7,9,14,0,Grêmio FBPA,1,30,4,3,3,1,14,11,2,2021,3ª eliminatória - jogos de ida
23.940,0,Deportivo Lara,1,35,6,4,2,2,15,23,0,Santos FC,1,65,8,2,1,3,23,15,0,2021,2ª eliminatória - jogos de volta
39.861,0,Ayacucho FC,1,50,21,10,4,1,10,10,0,Grêmio FBPA,2,50,12,5,6,3,9,12,1,2021,2ª eliminatória - jogos de volta
55.400,0,Independiente del Valle,6,66,21,11,0,6,13,8,0,Unión Española,2,34,8,6,3,2,8,14,6,2021,2ª eliminatória - jogos de volta
40.759,0,Club Libertad Asuncion,2,36,12,6,4,2,11,9,0,CD Universidad Católica,2,64,20,8,4,9,8,11,1,2021,2ª eliminatória - jogos de volta
47.964,0,CA San Lorenzo de Almagro,2,49,15,6,2,3,21,18,1,CF Universidad de Chile,0,51,7,3,4,1,17,22,0,2021,2ª eliminatória - jogos de volta
49.612,0,Junior FC,3,69,23,10,1,6,10,12,1,Caracas FC,1,31,10,5,4,5,12,10,1,2021,2ª eliminatória - jogos de volta
