capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
57.267,0,CR Flamengo,1,73,15,5,3,9,12,11,0,Athletico Paranaense,0,27,9,6,3,2,11,12,0,2022,final
78.838,0,CR Flamengo,2,51,21,10,3,7,5,10,2,CA Vélez Sarsfield,1,49,14,8,3,3,10,5,0,2022,semifinais - Jogos de volta
78.838,62.082,CR Flamengo,1,57,13,8,3,4,13,11,0,SC Corinthians,0,43,10,3,3,1,10,14,0,2022,quartas de final - Jogos de volta
55.144,0,CA Talleres,0,65,13,6,2,6,12,12,2,CA Vélez Sarsfield,1,35,8,3,1,2,10,13,2,2022,quartas de final - Jogos de volta
43.600,40.433,SE Palmeiras,6,32,13,8,7,2,19,11,2,Atlético Mineiro,5pen.,68,11,4,2,8,10,19,3,2022,quartas de final - Jogos de volta
32.530,0,Club Estudiantes de La Plata,0,55,21,9,1,8,15,16,2,Athletico Paranaense,1,45,6,3,6,3,15,17,0,2022,quartas de final - Jogos de volta
49.205,45.349,SC Corinthians,0,43,12,7,3,3,8,14,0,CR Flamengo,2,57,15,6,5,3,13,9,2,2022,Quartas de final - Jogos de ida
,57.140,Atlético Mineiro,2,49,21,11,1,5,11,23,0,SE Palmeiras,2,51,9,6,2,4,22,11,1,2022,Quartas de final - Jogos de ida
49.747,0,CA Vélez Sarsfield,3,48,12,4,2,6,7,11,0,CA Talleres,2,52,11,2,5,4,11,9,0,2022,Quartas de final - Jogos de ida
42.372,32.778,Athletico Paranaense,0,67,23,12,3,7,14,11,2,Club Estudiantes de La Plata,0,33,12,6,2,5,11,16,2,2022,Quartas de final - Jogos de ida
57.483,56.421,Atlético Mineiro,1,59,21,10,1,8,12,12,4,CS Emelec,0,41,6,2,4,2,12,13,1,2022,Oitavas de final - Jogos de volta
40.799,0,Club Libertad Asuncion,1,60,24,11,4,6,13,14,2,Athletico Paranaense,1,40,11,5,3,4,12,13,0,2022,Oitavas de final - Jogos de volta
57.200,0,CA Boca Juniors,5,66,20,12,0,10,8,5,1,SC Corinthians,6pen.,34,1,1,3,1,5,8,1,2022,Oitavas de final - Jogos de volta
40.000,0,CA Colón,0,54,6,2,7,2,9,12,4,CA Talleres,2,46,15,3,0,3,12,9,2,2022,Oitavas de final - Jogos de volta
