Ano,Posicao,Nome,Jogos,Vitorias,Empates,Derrotas,Gols,SG,Pontos
2001,11  ,Vasco da Gama,27,10,9,8,57:36,21,39
2001,12  ,Palmeiras,27,12,2,13,40:47,-7,38
2001,13  ,Portuguesa,27,11,4,12,31:33,-2,37
2001,14  ,Paraná,27,11,3,13,35:37,-2,36
2001,15  ,Santos,27,9,9,9,37:32,5,36
2001,16  ,Vitória,27,9,9,9,33:37,-4,36
2001,17  ,Coritiba,27,9,8,10,31:32,-1,35
2001,18  ,Corinthians,27,9,7,11,46:45,1,34
2001,19  ,Guarani,27,9,6,12,29:45,-16,33
2001,20  ,Gama,27,8,9,10,40:34,6,33
2001,21  ,Cruzeiro,27,9,5,13,36:43,-7,32
2001,22  ,Juventude,27,6,12,9,29:37,-8,30
2001,23  ,Flamengo,27,8,5,14,25:38,-13,29
2001,24  ,Botafogo-SP,27,7,7,13,25:39,-14,28
2001,25  ,Santa Cruz,27,7,6,14,31:50,-19,27
2001,26  ,Botafogo,27,7,5,15,39:53,-14,26
2001,27  ,América-MG,27,6,7,14,32:46,-14,25
2001,28  ,Sport,27,5,4,18,24:46,-22,19
2000,1 ,Atlético-MG,0,0,0,0,0:0,0,0
2000,1 ,Bahia,0,0,0,0,0:0,0,0
2000,1 ,Botafogo,0,0,0,0,0:0,0,0
2000,1 ,Bragantino,0,0,0,0,0:0,0,0
2000,1 ,Ceará,0,0,0,0,0:0,0,0
2000,1 ,Corinthians,0,0,0,0,0:0,0,0
2000,1 ,Cruzeiro,0,0,0,0,0:0,0,0
2000,1 ,Flamengo,0,0,0,0,0:0,0,0
2000,1 ,Fluminense,0,0,0,0,0:0,0,0
2000,1 ,Fortaleza,0,0,0,0,0:0,0,0
2000,1 ,Grêmio,0,0,0,0,0:0,0,0
2000,1 ,Internacional,0,0,0,0,0:0,0,0
2000,1 ,Juventude,0,0,0,0,0:0,0,0
2000,1 ,Palmeiras,0,0,0,0,0:0,0,0
2000,1 ,Mirassol,0,0,0,0,0:0,0,0
2000,1 ,Santos,0,0,0,0,0:0,0,0
2000,1 ,São Paulo,0,0,0,0,0:0,0,0
2000,1 ,Sport,0,0,0,0,0:0,0,0
2000,1 ,Vasco da Gama,0,0,0,0,0:0,0,0
2000,1 ,Vitória,0,0,0,0,0:0,0,0
1999,1  ,Corinthians,28,18,4,6,61:38,23,58
1999,2  ,Atlético-MG,28,15,3,10,56:40,16,48
1999,3  ,Cruzeiro,23,12,6,5,50:39,11,42
1999,4  ,Vitória,27,12,6,9,41:47,-6,42
1999,5  ,São Paulo,26,13,1,12,45:35,10,40
1999,6  ,Vasco da Gama,24,10,8,6,40:31,9,38
1999,7  ,Ponte Preta,24,11,5,8,29:23,6,38
1999,8  ,Guarani,24,10,5,9,32:25,7,35
1999,9  ,Palmeiras,21,8,7,6,36:23,13,31
1999,10  ,Atlético-PR,21,9,4,8,36:31,5,31
1999,11  ,Santos,21,8,6,7,25:26,-1,30
1999,12  ,Coritiba,21,7,8,6,31:29,2,29
1999,13  ,Flamengo,21,9,2,10,30:33,-3,29
1999,14  ,Gama,21,7,5,9,24:29,-5,26
1999,15  ,Botafogo,21,8,2,11,23:37,-14,26
1999,16  ,Paraná,21,6,6,9,23:29,-6,24
1999,17  ,Internacional,21,7,3,11,18:26,-8,24
1999,18  ,Juventude,21,5,7,9,18:32,-14,22
1999,19  ,Grêmio,21,6,4,11,24:43,-19,22
1999,20  ,Botafogo-SP,21,5,6,10,27:38,-11,21
1999,21  ,Portuguesa,21,4,6,11,27:31,-4,18
1999,22  ,Sport,21,3,8,10,14:25,-11,17
1998,1  ,Corinthians,32,18,7,7,57:38,19,61
1998,2  ,Santos,29,14,9,6,55:36,19,51
1998,3  ,Cruzeiro,32,14,9,9,56:41,15,51
1998,4  ,Palmeiras,26,15,3,8,51:38,13,48
1998,5  ,Portuguesa,29,13,9,7,52:42,10,48
1998,6  ,Coritiba,26,11,11,4,35:31,4,44
1998,7  ,Sport,26,13,4,9,38:28,10,43
1998,8  ,Grêmio,26,11,6,9,34:32,2,39
1998,9  ,Atlético-MG,23,9,9,5,38:33,5,36
1998,10  ,Vasco da Gama,23,9,7,7,34:24,10,34
1998,11  ,Flamengo,23,9,6,8,37:34,3,33
1998,12  ,Internacional,23,9,5,9,25:25,0,32
1998,13  ,Vitória,23,9,3,11,31:38,-7,30
1998,14  ,Botafogo,23,7,8,8,35:37,-2,29
1998,15  ,Atlético-PR,23,7,6,10,32:32,0,27
1998,16  ,São Paulo,23,8,3,12,34:35,-1,27
1998,17  ,Ponte Preta,23,7,5,11,25:34,-9,26
1998,18  ,Juventude,23,6,8,9,23:32,-9,26
1998,19  ,Guarani,23,6,7,10,34:39,-5,25
1998,20  ,Paraná,23,7,3,13,25:41,-16,24
1998,21  ,América-MG,23,6,5,12,26:39,-13,23
1998,22  ,Goiás,23,5,7,11,29:37,-8,22
1998,23  ,Bragantino,23,5,6,12,20:37,-17,21
1998,24  ,América-RN,23,3,6,14,24:47,-23,15
1997,1  ,Vasco da Gama,33,21,7,5,69:37,32,70
1997,2  ,Palmeiras,33,15,13,5,57:28,29,58
1997,3  ,Internacional,31,17,6,8,60:31,29,57
1997,4  ,Atlético-MG,31,16,5,10,48:42,6,53
1997,5  ,Flamengo,31,14,8,9,37:32,5,50
1997,6  ,Portuguesa,31,13,10,8,50:36,14,49
1997,7  ,Santos,31,14,6,11,48:43,5,48
1997,8  ,Juventude,31,11,11,9,30:31,-1,44
1997,9  ,Vitória,25,9,9,7,44:40,4,36
1997,10  ,Botafogo,25,8,10,7,32:32,0,34
1997,11  ,São Paulo,25,8,9,8,41:32,9,33
1997,12  ,Sport,25,9,6,10,34:32,2,33
1997,13  ,Atlético-PR,25,9,6,10,37:41,-4,33
1997,14  ,Paraná,25,8,8,9,30:30,0,32
1997,15  ,Grêmio,25,7,10,8,34:47,-13,31
1997,16  ,Coritiba,25,7,9,9,31:32,-1,30
1997,17  ,América-RN,25,7,9,9,31:40,-9,30
1997,18  ,Corinthians,25,8,5,12,23:27,-4,29
1997,19  ,Cruzeiro,25,6,10,9,30:35,-5,28
1997,20  ,Guarani,25,6,10,9,36:43,-7,28
1997,21  ,Goiás,25,8,4,13,30:40,-10,28
1997,22  ,Bahia,25,6,8,11,39:49,-10,26
1997,23  ,Bragantino,25,7,5,13,27:46,-19,26
1997,24  ,Criciúma,25,6,7,12,27:35,-8,25
1997,25  ,Fluminense,25,4,10,11,26:41,-15,22
1997,26  ,União São João,25,2,9,14,18:47,-29,15
1996,1 ,Grêmio,29,14,6,9,52:34,18,48
1996,2 ,Cruzeiro,25,14,5,6,32:20,12,47
1996,3 ,Palmeiras,25,13,7,5,44:23,21,46
1996,4 ,Guarani,25,14,4,7,25:17,8,46
1996,5 ,Portuguesa,29,14,4,11,40:34,6,46
1996,6 ,Atlético-MG,27,13,4,10,44:37,7,43
1996,7 ,Atlético-PR,25,13,3,9,43:31,12,42
1996,8 ,Goiás,27,12,5,10,43:34,9,41
1996,9 ,São Paulo,23,9,8,6,39:32,7,35
1996,10 ,Internacional,23,10,5,8,31:27,4,35
1996,11 ,Sport,23,10,5,8,32:31,1,35
1996,12 ,Corinthians,23,7,11,5,20:19,1,32
1996,13 ,Flamengo,23,9,3,11,24:31,-7,30
1996,14 ,Coritiba,23,8,5,10,25:30,-5,29
1996,15 ,Vitória,23,8,5,10,32:39,-7,29
1996,16 ,Botafogo,23,7,7,9,33:35,-2,28
1996,17 ,Paraná,23,8,4,11,26:30,-4,28
1996,18 ,Santos,23,7,6,10,26:31,-5,27
1996,19 ,Vasco da Gama,23,8,3,12,37:43,-6,27
1996,20 ,Juventude,23,8,3,12,31:37,-6,27
1996,21 ,Criciúma,23,6,5,12,31:39,-8,23
1996,22 ,Bahia,23,5,8,10,25:35,-10,23
1996,23 ,Fluminense,23,6,4,13,26:50,-24,22
1996,24 ,Bragantino,23,5,4,14,26:48,-22,19
