capacidade_estadio,publico_estadio,time_casa,valor_mercado_casa,valor_mercado_media_casa,media_idade_casa,jogadores_de_selecao_casa,jogadores_de_sub_selecao_casa,estrangeiros_casa,gols_casa,posse_casa,socios_torcedores_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,valor_mercado_fora,valor_mercado_media_fora,media_idade_fora,jogadores_de_selecao_fora,jogadores_de_sub_selecao_fora,estrangeiros_fora,socios_torcedores_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
37.182,0,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,0,36,38000.0,1,1,3,2,11,5,3,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,1,64,8,3,0,6,5,13,2,2020,1.Rodada
35.000,0,Sport Recife,33250.0,1010.0,28.1,0.0,1.0,8.0,3,32,43659.0,4,0,0,0,2,1,1,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,10236.0,2,68,2,0,0,1,1,3,0,2020,1.Rodada
78.838,0,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,0,63,109442.0,17,10,4,9,21,12,2,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,85000.0,1,37,10,2,2,2,10,24,3,2020,1.Rodada
20.120,0,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,1,54,70773.0,10,5,5,4,19,10,4,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0.0,1,46,18,8,3,2,9,19,2,2020,1.Rodada
60.326,0,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,0,43,34119.0,10,4,3,3,7,12,1,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,0.0,2,57,13,4,3,4,11,7,1,2020,1.Rodada
46.931,0,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,1,61,56417.0,15,8,2,8,14,18,0,EC Bahia,90600.0,3020.0,27.7,2.0,1.0,5.0,75000.0,2,39,12,7,1,5,14,14,1,2020,1.Rodada
49.205,0,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,0,53,116188.0,12,8,5,4,10,18,4,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,0.0,0,47,17,7,4,7,18,12,2,2020,1.Rodada
12.500,0,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,0,41,0.0,9,4,3,2,18,16,0,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,151724.0,3,59,15,6,3,9,16,19,1,2020,1.Rodada
43.600,0,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,1,55,175974.0,14,7,2,6,11,19,0,CR Vasco da Gama,84750.0,2290.0,27.5,3.0,2.0,12.0,53957.0,1,45,12,5,2,3,17,11,2,2020,1.Rodada
57.000,0,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,3,55,85000.0,25,9,2,8,11,19,3,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,2,45,7,2,10,4,18,11,1,2020,2.Rodada
42.372,0,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,2,100,0.0,2,0,0,0,0,0,0,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,0.0,1,0,1,0,0,0,0,0,0,2020,2.Rodada
13.212,0,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,1,55,0.0,23,12,2,11,8,13,1,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,56417.0,1,45,9,6,7,3,13,8,1,2020,2.Rodada
13.000,0,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,3,35,0.0,13,5,3,11,19,15,2,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,109442.0,0,65,8,3,4,5,15,19,1,2020,2.Rodada
30.000,0,EC Bahia,90600.0,3020.0,27.7,2.0,1.0,5.0,1,46,75000.0,12,7,3,3,17,16,1,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,38000.0,0,54,14,8,4,8,14,18,5,2020,2.Rodada
82.238,0,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,1,52,48280.0,10,6,0,3,30,20,3,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,175974.0,1,48,9,5,0,3,18,31,0,2020,2.Rodada
60.326,0,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,1,42,10236.0,11,5,7,1,7,17,1,Grêmio FBPA,93600.0,2840.0,26.4,3.0,2.0,11.0,148613.0,1,58,14,4,4,7,15,7,0,2020,2.Rodada
67.428,0,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,1,52,151724.0,13,7,3,6,17,16,4,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,34119.0,0,48,12,6,2,7,14,18,3,2020,2.Rodada
56.000,0,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,2,58,142000.0,25,13,1,9,13,28,2,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,70773.0,0,42,6,3,5,4,26,14,2,2020,2.Rodada
24.584,0,CR Vasco da Gama,84750.0,2290.0,27.5,3.0,2.0,12.0,2,46,53957.0,9,2,1,5,16,29,1,Sport Recife,33250.0,1010.0,28.1,0.0,1.0,8.0,43659.0,0,54,13,8,4,8,29,17,4,2020,2.Rodada
60.540,0,Grêmio FBPA,93600.0,2840.0,26.4,3.0,2.0,11.0,0,47,148613.0,24,9,2,7,14,16,0,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,0,53,5,2,7,5,14,14,0,2020,3.Rodada
37.182,0,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,0,33,38000.0,8,2,6,4,16,25,2,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,109442.0,1,67,18,5,3,5,24,16,1,2020,3.Rodada
57.000,0,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,2,61,85000.0,11,3,1,4,12,14,2,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,10236.0,0,39,13,7,3,0,12,15,1,2020,3.Rodada
24.584,0,CR Vasco da Gama,84750.0,2290.0,27.5,3.0,2.0,12.0,2,41,53957.0,8,5,4,3,15,16,1,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,151724.0,1,59,11,4,1,4,14,15,1,2020,3.Rodada
30.000,0,EC Bahia,90600.0,3020.0,27.7,2.0,1.0,5.0,2,42,75000.0,10,4,2,3,14,16,2,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0.0,1,58,16,7,2,7,15,16,1,2020,3.Rodada
82.238,0,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,2,43,48280.0,10,2,1,1,23,13,1,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,1,57,9,4,3,4,11,24,1,2020,3.Rodada
13.500,0,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,1,32,0.0,10,5,3,4,15,13,0,Sport Recife,33250.0,1010.0,28.1,0.0,1.0,8.0,43659.0,1,68,15,8,3,9,12,15,2,2020,3.Rodada
60.326,0,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,0,58,34119.0,12,8,6,4,8,9,2,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,56417.0,0,42,15,6,1,7,9,8,1,2020,3.Rodada
