capacidade_estadio,publico_estadio,time_casa,valor_mercado_casa,valor_mercado_media_casa,media_idade_casa,jogadores_de_selecao_casa,jogadores_de_sub_selecao_casa,estrangeiros_casa,gols_casa,posse_casa,socios_torcedores_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,valor_mercado_fora,valor_mercado_media_fora,media_idade_fora,jogadores_de_selecao_fora,jogadores_de_sub_selecao_fora,estrangeiros_fora,socios_torcedores_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
42.968,0,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,2,59,0.0,14,8,1,9,11,14,0,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,3020.0,2,41,7,3,0,1,13,14,1,2021,1.Rodada
31.000,0,EC Bahia,90600.0,3020.0,27.7,2.0,1.0,5.0,3,35,75000.0,5,2,4,4,9,18,2,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,70773.0,0,65,12,5,0,11,18,9,2,2021,1.Rodada
67.428,0,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,0,71,151724.0,7,2,5,4,11,10,2,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,48280.0,0,29,11,4,3,5,8,12,2,2021,1.Rodada
57.018,0,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,1,54,85000.0,13,5,3,5,19,16,2,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,34119.0,2,46,18,8,3,4,16,19,3,2021,1.Rodada
78.838,0,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,1,62,109442.0,14,3,4,3,21,25,0,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,175974.0,0,38,12,6,8,4,25,21,3,2021,1.Rodada
60.326,0,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,3,35,10236.0,12,5,1,5,17,17,2,Grêmio FBPA,93600.0,2840.0,26.4,3.0,2.0,11.0,148613.0,2,65,12,5,3,4,17,18,0,2021,1.Rodada
22.600,0,Chapecoense,6400.0,246.0,27.4,0.0,0.0,2.0,0,44,11258.0,10,6,5,5,11,9,0,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0.0,3,56,18,8,2,7,8,12,2,2021,1.Rodada
49.205,0,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,0,61,116188.0,15,5,1,10,14,18,1,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,0.0,1,39,7,3,6,3,15,14,5,2021,1.Rodada
42.372,0,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,1,56,0.0,11,5,4,3,8,18,0,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,1225.0,0,44,14,6,4,1,17,9,0,2021,1.Rodada
13.000,0,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,2,38,0.0,9,2,3,3,14,16,1,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,151724.0,0,62,13,5,2,12,16,14,1,2021,2.Rodada
13.212,0,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,3,61,0.0,25,9,0,9,13,12,1,EC Bahia,90600.0,3020.0,27.7,2.0,1.0,5.0,75000.0,3,39,9,3,3,2,12,13,3,2021,2.Rodada
20.120,0,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,3,57,70773.0,15,6,2,4,17,18,1,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,10236.0,1,43,6,1,2,1,16,19,3,2021,2.Rodada
24.238,0,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,1,45,48280.0,8,2,4,0,13,22,0,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0.0,0,55,10,5,2,1,22,15,4,2021,2.Rodada
25.000,0,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,0,56,1225.0,10,4,3,6,19,11,4,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,1,44,6,2,4,4,10,19,0,2021,2.Rodada
60.326,0,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,5,52,34119.0,14,4,2,1,17,19,2,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,1,48,5,0,4,4,17,21,1,2021,2.Rodada
23.726,0,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,0,59,3020.0,14,8,2,5,26,14,1,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,0.0,3,41,11,4,1,1,14,27,3,2021,2.Rodada
43.600,0,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,3,66,175974.0,17,10,3,5,10,10,1,Chapecoense,6400.0,246.0,27.4,0.0,0.0,2.0,11258.0,1,34,6,2,1,3,9,11,2,2021,2.Rodada
35.000,0,Sport Recife,33250.0,1010.0,28.1,0.0,1.0,8.0,0,49,43659.0,8,6,0,4,14,18,1,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,85000.0,1,51,10,5,1,7,17,15,0,2021,2.Rodada
60.540,0,Grêmio FBPA,93600.0,2840.0,26.4,3.0,2.0,11.0,2,50,148613.0,18,8,4,5,13,14,2,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,109442.0,2,50,12,5,5,4,14,14,1,2021,2.Rodada
43.600,0,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,1,52,175974.0,12,6,3,4,13,14,4,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,1,48,9,3,2,4,14,14,2,2021,3.Rodada
20.120,0,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,0,75,70773.0,18,9,0,8,17,14,0,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,3020.0,0,25,2,1,2,0,14,20,3,2021,3.Rodada
57.018,0,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,1,42,85000.0,9,5,1,4,19,14,2,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,151724.0,0,58,5,2,1,5,12,22,1,2021,3.Rodada
60.540,0,Grêmio FBPA,93600.0,2840.0,26.4,3.0,2.0,11.0,0,63,148613.0,10,5,3,6,12,21,0,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,0.0,1,37,9,3,1,4,21,12,0,2021,3.Rodada
78.838,0,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,2,65,109442.0,20,8,1,4,17,17,3,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,1225.0,0,35,9,5,4,2,16,18,1,2021,3.Rodada
13.212,0,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,2,47,0.0,16,6,2,10,8,11,0,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,48280.0,2,53,15,7,3,10,9,8,2,2021,3.Rodada
31.000,0,EC Bahia,90600.0,3020.0,27.7,2.0,1.0,5.0,0,67,75000.0,14,9,3,6,16,14,2,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,1,33,6,2,3,5,14,16,2,2021,3.Rodada
60.326,0,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,1,58,34119.0,13,3,0,3,13,22,2,Sport Recife,33250.0,1010.0,28.1,0.0,1.0,8.0,43659.0,0,42,5,4,6,3,21,16,0,2021,3.Rodada
22.600,0,Chapecoense,6400.0,246.0,27.4,0.0,0.0,2.0,0,38,11258.0,8,5,6,2,14,16,0,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,10236.0,0,62,14,4,3,7,14,14,1,2021,3.Rodada
42.968,0,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,2,56,0.0,20,7,2,0,11,17,0,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,0.0,1,44,9,1,5,4,16,14,0,2021,3.Rodada
72.039,0,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,1,51,151724.0,13,6,1,9,12,9,3,Chapecoense,6400.0,246.0,27.4,0.0,0.0,2.0,11258.0,1,49,7,4,2,1,9,13,3,2021,4.Rodada
56.000,0,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,0,57,142000.0,11,7,1,8,12,13,1,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,85000.0,1,43,6,4,1,1,12,13,0,2021,4.Rodada
49.205,0,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,1,42,116188.0,5,1,3,9,13,13,2,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0.0,2,58,21,11,1,12,10,15,1,2021,4.Rodada
23.726,0,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,0,43,3020.0,11,6,3,7,24,11,0,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,175974.0,3,57,13,7,2,4,10,24,1,2021,4.Rodada
25.000,0,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,0,57,1225.0,20,7,3,3,16,16,2,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0.0,0,43,8,2,6,2,16,16,3,2021,4.Rodada
60.326,0,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,1,62,10236.0,12,7,1,7,15,19,0,EC Bahia,90600.0,3020.0,27.7,2.0,1.0,5.0,75000.0,2,38,9,6,2,2,18,16,0,2021,4.Rodada
35.000,0,Sport Recife,33250.0,1010.0,28.1,0.0,1.0,8.0,1,34,43659.0,10,6,7,2,9,16,1,Grêmio FBPA,93600.0,2840.0,26.4,3.0,2.0,11.0,148613.0,0,66,14,5,3,7,15,11,2,2021,4.Rodada
82.238,0,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,1,29,48280.0,9,3,8,2,8,14,1,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,70773.0,0,71,18,4,3,9,13,9,1,2021,4.Rodada
13.000,0,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,0,56,0.0,9,3,1,9,13,18,0,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,34119.0,0,44,5,3,1,4,16,13,6,2021,4.Rodada
