capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,rodada
50.848,22.045,SC Internacional,2,53,17,7,3,6,13,20,3,EC Bahia,1,47,9,3,6,3,19,13,2,2024,1.Rodada
19.225,12.408,Criciúma EC,1,47,10,4,3,0,15,11,3,EC Juventude,1,53,15,7,2,4,9,15,4,2024,1.Rodada
82.238,17.645,Fluminense FC,2,69,26,10,6,13,19,8,0,RB Bragantino,2,31,16,7,9,6,8,19,0,2024,1.Rodada
72.039,35.055,São Paulo FC,1,71,14,5,0,11,14,10,2,Fortaleza EC,2,29,6,3,4,4,10,14,1,2024,1.Rodada
24.584,18.055,CR Vasco da Gama,2,47,15,7,1,3,10,19,1,Grêmio FBPA,1,53,9,5,1,5,18,10,1,2024,1.Rodada
49.205,44.597,SC Corinthians,0,49,13,7,3,3,12,16,0,Atlético Mineiro,0,51,8,2,1,3,16,12,2,2024,1.Rodada
42.372,22.169,Athletico Paranaense,4,62,20,6,0,7,9,16,2,Cuiabá EC,0,38,1,1,5,0,16,9,1,2024,1.Rodada
50.000,35.195,Atlético Goianiense,1,32,11,5,0,4,12,12,2,CR Flamengo,2,68,15,8,3,4,11,12,1,2024,1.Rodada
61.927,36.661,Cruzeiro EC,3,56,15,4,1,6,11,12,2,Botafogo FR,2,44,6,3,2,3,10,11,0,2024,1.Rodada
,30.793,EC Vitória,0,56,12,4,3,3,15,12,2,SE Palmeiras,1,44,15,7,5,9,11,15,3,2024,1.Rodada
47.364,23.080,EC Bahia,2,40,12,5,2,4,20,15,3,Fluminense FC,1,60,9,3,3,3,13,23,2,2024,2.Rodada
60.540,13.541,Grêmio FBPA,2,48,14,4,0,9,13,7,0,Athletico Paranaense,0,52,4,3,5,2,7,13,1,2024,2.Rodada
15.010,5.532,RB Bragantino,2,40,17,9,2,4,14,14,0,CR Vasco da Gama,1,60,13,8,3,6,12,15,3,2024,2.Rodada
46.000,24.613,Atlético Mineiro,1,68,22,8,0,9,10,12,2,Criciúma EC,1,32,5,4,5,2,10,10,0,2024,2.Rodada
32.713,13.541,SE Palmeiras,0,68,18,11,1,6,21,14,4,SC Internacional,1,32,5,3,3,2,11,21,1,2024,2.Rodada
60.326,22.131,Fortaleza EC,1,39,14,6,4,7,9,13,0,Cruzeiro EC,1,61,14,6,2,5,13,10,2,2024,2.Rodada
23.726,7.478,EC Juventude,2,45,16,4,2,6,10,16,1,SC Corinthians,0,55,17,11,6,7,15,10,2,2024,2.Rodada
78.838,48.103,CR Flamengo,2,46,12,4,2,9,18,19,1,São Paulo FC,1,54,10,3,4,1,17,19,2,2024,2.Rodada
46.931,8.508,Botafogo FR,1,53,13,6,3,8,11,13,1,Atlético Goianiense,0,47,12,4,3,8,13,11,2,2024,2.Rodada
42.968,3.614,Cuiabá EC,0,54,11,7,4,4,13,19,1,EC Vitória,0,46,13,7,0,3,17,14,1,2024,2.Rodada
82.238,25.842,Fluminense FC,2,58,11,2,4,2,17,16,1,CR Vasco da Gama,1,42,21,8,6,7,15,17,4,2024,3.Rodada
60.540,22.904,Grêmio FBPA,1,57,7,3,3,3,5,10,0,Cuiabá EC,0,43,14,8,3,4,10,5,0,2024,3.Rodada
15.010,9.613,RB Bragantino,1,35,10,5,4,3,10,21,0,SC Corinthians,0,65,15,8,2,4,20,10,4,2024,3.Rodada
46.000,39.541,Atlético Mineiro,3,56,9,3,2,4,16,15,1,Cruzeiro EC,0,44,10,1,1,4,15,17,2,2024,3.Rodada
30.618,27.609,EC Vitória,2,43,13,4,4,2,12,11,5,EC Bahia,2,57,18,6,6,5,11,13,2,2024,3.Rodada
43.713,29.956,SE Palmeiras,0,48,11,7,3,5,13,23,3,CR Flamengo,0,52,8,3,1,5,23,14,0,2024,3.Rodada
46.931,13.273,Botafogo FR,5,55,13,5,0,5,10,22,1,EC Juventude,1,45,12,5,1,4,20,10,1,2024,3.Rodada
13.000,9.017,Atlético Goianiense,0,34,9,4,4,4,9,13,0,São Paulo FC,3,66,19,4,1,3,12,9,2,2024,3.Rodada
24.584,17.124,CR Vasco da Gama,0,58,21,8,6,5,7,13,0,Criciúma EC,4,42,17,5,5,4,13,7,2,2024,4.Rodada
42.968,6.711,Cuiabá EC,0,33,4,2,2,3,16,11,2,Atlético Mineiro,3,67,13,5,1,10,11,17,1,2024,4.Rodada
47.364,36.066,EC Bahia,1,60,14,5,2,4,13,10,1,Grêmio FBPA,0,40,3,1,3,0,10,15,2,2024,4.Rodada
