capacidade_estadio,publico_estadio,time_casa,valor_mercado_casa,valor_mercado_media_casa,media_idade_casa,jogadores_de_selecao_casa,jogadores_de_sub_selecao_casa,estrangeiros_casa,gols_casa,posse_casa,socios_torcedores_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,valor_mercado_fora,valor_mercado_media_fora,media_idade_fora,jogadores_de_selecao_fora,jogadores_de_sub_selecao_fora,estrangeiros_fora,socios_torcedores_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
,35.835,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,2,52,175974.0,17,7,3,4,12,23,3,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0.0,1,48,12,6,3,4,21,12,2,2023,1.Rodada
25.000,6.653,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,0,46,1225.0,17,9,5,11,8,25,2,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,48280.0,3,54,15,3,2,1,24,9,3,2023,1.Rodada
46.931,11.708,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,2,32,56417.0,12,5,7,3,10,20,2,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,151724.0,1,68,16,6,1,7,20,13,1,2023,1.Rodada
13.212,3.368,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,2,56,0.0,13,4,2,4,13,20,2,EC Bahia,90600.0,3020.0,27.7,2.0,1.0,5.0,75000.0,1,44,9,5,5,7,20,13,3,2023,1.Rodada
42.372,15.329,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,2,43,0.0,11,4,2,3,17,19,1,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,0.0,0,57,16,8,1,8,18,18,1,2023,1.Rodada
60.326,30.191,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,1,47,34119.0,24,7,5,5,13,18,0,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,1,53,11,5,5,1,16,13,2,2023,1.Rodada
57.483,34.980,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,1,75,85000.0,26,7,1,14,9,15,2,CR Vasco da Gama,84750.0,2290.0,27.5,3.0,2.0,12.0,53957.0,2,25,7,1,9,3,15,10,2,2023,1.Rodada
78.838,42.848,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,3,59,109442.0,15,5,3,6,17,20,1,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,38000.0,0,41,10,2,4,3,19,17,2,2023,1.Rodada
49.205,41.304,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,2,41,116188.0,12,4,1,7,11,14,4,Cruzeiro EC,95150.0,3170.0,27.7,4.0,1.0,6.0,86574.0,1,59,8,3,5,4,14,12,3,2023,1.Rodada
23.540,13.997,Grêmio FBPA,93600.0,2840.0,26.4,3.0,2.0,11.0,1,45,148613.0,17,6,4,4,15,12,1,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,70773.0,0,55,16,8,5,11,12,16,1,2023,1.Rodada
