capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
43.600,0,SE Palmeiras,2,38,13,6,4,3,11,23,5,Grêmio FBPA,0,62,9,2,2,4,22,12,0,2020,final - jogo de volta
60.540,0,Grêmio FBPA,0,67,15,7,1,7,18,15,2,SE Palmeiras,1,33,9,4,3,4,15,20,1,2020,final - jogo de ida
67.428,0,São Paulo FC,0,70,12,6,0,10,15,23,1,Grêmio FBPA,0,30,7,6,4,3,22,15,0,2020,semifinais - Jogos de volta
25.000,0,América Mineiro,0,47,14,9,2,3,12,10,2,SE Palmeiras,2,53,11,6,2,3,10,12,1,2020,semifinais - Jogos de volta
43.600,0,SE Palmeiras,1,71,24,11,1,11,17,16,5,América Mineiro,1,29,9,5,5,2,14,17,1,2020,Semifinais - Jogos de ida
60.540,0,Grêmio FBPA,2,62,17,5,0,4,10,15,3,Cuiabá EC,0,38,11,4,7,5,15,11,1,2020,quartas de final - Jogos de volta
60.326,0,Ceará SC,2,59,13,3,2,8,15,9,3,SE Palmeiras,2,41,8,3,5,1,8,15,1,2020,quartas de final - Jogos de volta
67.428,0,São Paulo FC,3,34,8,1,5,3,14,18,3,CR Flamengo,0,66,17,8,3,9,16,14,2,2020,quartas de final - Jogos de volta
25.000,0,América Mineiro,6,23,7,2,2,3,15,22,1,SC Internacional,5pen.,77,12,5,2,5,21,16,0,2020,quartas de final - Jogos de volta
43.600,0,SE Palmeiras,3,51,15,6,1,3,10,13,3,Ceará SC,0,49,3,2,2,2,12,10,1,2020,Quartas de final - Jogos de ida
42.968,0,Cuiabá EC,1,44,14,7,3,6,12,14,0,Grêmio FBPA,2,56,11,4,5,9,14,14,3,2020,Quartas de final - Jogos de ida
78.838,0,CR Flamengo,1,51,12,3,1,7,14,10,4,São Paulo FC,2,49,4,0,5,4,9,15,0,2020,Quartas de final - Jogos de ida
56.000,0,SC Internacional,0,72,11,7,1,6,11,20,1,América Mineiro,1,28,9,5,2,3,17,13,4,2020,Quartas de final - Jogos de ida
42.968,0,Cuiabá EC,0,33,6,1,3,4,18,20,2,Botafogo FR,0,67,18,7,2,8,18,18,1,2020,Oitavas de final - Jogos de volta
56.000,0,SC Internacional,2,58,12,3,0,1,7,23,3,Atlético Goianiense,1,42,10,4,4,6,22,7,0,2020,Oitavas de final - Jogos de volta
60.326,0,Ceará SC,1,40,13,6,0,8,9,16,2,Santos FC,0,60,12,9,5,3,16,9,1,2020,Oitavas de final - Jogos de volta
78.838,0,CR Flamengo,3,62,12,2,2,1,16,15,1,Athletico Paranaense,2,38,9,3,5,5,14,16,4,2020,Oitavas de final - Jogos de volta
25.000,0,América Mineiro,1,41,19,8,2,6,15,9,7,SC Corinthians,1,59,10,4,6,8,8,16,0,2020,Oitavas de final - Jogos de volta
43.600,0,SE Palmeiras,1,50,13,7,2,2,13,11,0,RB Bragantino,0,50,10,8,0,5,10,14,2,2020,Oitavas de final - Jogos de volta
23.726,0,EC Juventude,0,62,14,7,5,3,15,14,0,Grêmio FBPA,1,38,11,4,6,2,14,15,2,2020,Oitavas de final - Jogos de volta
60.326,0,Fortaleza EC,3,31,8,3,3,2,7,9,1,São Paulo FC,3,69,22,12,1,7,7,7,0,2020,Oitavas de final - Jogos de ida
46.931,0,Botafogo FR,0,67,23,10,1,10,19,13,0,Cuiabá EC,1,33,6,4,6,2,13,20,2,2020,Oitavas de final - Jogos de ida
20.120,0,Santos FC,0,49,15,6,3,6,20,9,2,Ceará SC,0,51,17,10,4,7,9,21,0,2020,Oitavas de final - Jogos de ida
42.372,0,Athletico Paranaense,0,49,15,6,2,10,21,12,0,CR Flamengo,1,51,10,5,5,8,11,21,0,2020,Oitavas de final - Jogos de ida
49.205,0,SC Corinthians,0,68,14,5,1,7,15,16,0,América Mineiro,1,32,9,4,3,0,16,17,2,2020,Oitavas de final - Jogos de ida
13.212,0,RB Bragantino,1,64,17,7,1,12,15,14,1,SE Palmeiras,3,36,9,5,4,2,13,15,2,2020,Oitavas de final - Jogos de ida
