capacidade_estadio,publico_estadio,time_casa,valor_mercado_casa,valor_mercado_media_casa,media_idade_casa,jogadores_de_selecao_casa,jogadores_de_sub_selecao_casa,estrangeiros_casa,gols_casa,posse_casa,socios_torcedores_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,valor_mercado_fora,valor_mercado_media_fora,media_idade_fora,jogadores_de_selecao_fora,jogadores_de_sub_selecao_fora,estrangeiros_fora,socios_torcedores_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
26.047,0,Crystal Palace FC,441000.0,16329.999999999998,26.1,13.0,6.0,12.0,1,30,0.0,5,2,5,7,10,14,4,FC Southampton,262600.0,8750.0,26.1,10.0,9.0,17.0,0.0,0,70,9,3,2,3,14,11,0,2021,1.Rodada
54.074,0,FC Liverpool,993500.0,39740.0,26.6,22.0,3.0,18.0,4,49,0.0,22,3,0,9,5,9,2,Leeds United FC,173500.0,7540.0,27.1,11.0,2.0,18.0,0.0,3,51,6,1,3,0,9,6,5,2021,1.Rodada
60.000,0,West Ham United,454300.0,16830.0,28.4,13.0,3.0,18.0,0,58,0.0,15,5,0,8,7,13,2,Newcastle United,635000.0,23520.0,28.6,13.0,3.0,11.0,88000.0,2,42,15,7,3,7,11,7,4,2021,1.Rodada
2.685,0,West Bromwich Albion,75400.0,2900.0,26.6,9.0,2.0,14.0,0,37,0.0,7,3,4,2,9,12,4,Leicester City FC,273300.0,9420.0,26.8,15.0,2.0,21.0,0.0,3,63,13,3,1,5,11,9,3,2021,1.Rodada
62.062,0,Tottenham Hotspur,836100.0,27870.0,25.5,19.0,10.0,21.0,0,51,0.0,9,1,3,5,6,15,0,FC Everton,365100.0,14600.0,27.9,12.0,3.0,15.0,0.0,1,49,15,7,5,3,14,7,1,2021,1.Rodada
32.702,0,Sheffield United,124550.0,4290.0,25.0,6.0,4.0,12.0,0,55,0.0,9,5,2,12,7,13,4,Wolverhampton Wanderers,408800.0,13190.0,26.3,18.0,5.0,27.0,0.0,2,45,11,5,1,5,13,7,0,2021,1.Rodada
30.666,0,Brighton & Hove Albion,555600.0,19840.0,26.2,17.0,5.0,20.0,1,52,0.0,13,6,2,4,11,8,0,Chelsea FC,922000.0,30730.0,23.6,13.0,12.0,18.0,30000.0,3,48,10,2,2,3,8,13,3,2021,1.Rodada
21.994,0,FC Burnley,178800.0,5960.0,25.9,8.0,5.0,17.0,0,37,0.0,12,7,6,3,13,15,3,Manchester United FC,694250.0,26700.0,26.3,19.0,6.0,18.0,0.0,1,63,13,2,0,4,14,13,2,2021,1.Rodada
55.017,0,Manchester City FC,1310000.0,46610.0,26.7,21.0,7.0,21.0,2,69,0.0,28,7,4,16,8,10,3,Aston Villa FC,627500.0,26150.0,27.6,15.0,4.0,16.0,0.0,0,31,11,4,7,2,10,9,1,2021,1.Rodada
39.571,0,FC Everton,365100.0,14600.0,27.9,12.0,3.0,15.0,5,71,0.0,17,5,2,11,10,9,1,West Bromwich Albion,75400.0,2900.0,26.6,9.0,2.0,14.0,0.0,2,29,6,1,2,1,8,11,1,2021,2.Rodada
